"module name","license","repository"
"@sindresorhus/df@1.0.1","MIT","https://github.com/sindresorhus/df"
"@sindresorhus/df@2.1.0","MIT","https://github.com/sindresorhus/df"
"@stroncium/procfs@1.1.1","CC0-1.0","https://github.com/stroncium/nodejs-procfs"
"aggregate-error@3.0.1","MIT","https://github.com/sindresorhus/aggregate-error"
"array-union@1.0.2","MIT","https://github.com/sindresorhus/array-union"
"array-uniq@1.0.3","MIT","https://github.com/sindresorhus/array-uniq"
"arrify@2.0.1","MIT","https://github.com/sindresorhus/arrify"
"async@3.2.2","MIT","https://github.com/caolan/async"
"balanced-match@1.0.0","MIT","https://github.com/juliangruber/balanced-match"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"clean-stack@2.2.0","MIT","https://github.com/sindresorhus/clean-stack"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"cp-file@6.2.0","MIT","https://github.com/sindresorhus/cp-file"
"cross-spawn-async@2.2.5","MIT","https://github.com/IndigoUnited/node-cross-spawn-async"
"deep-scan-dir@1.2.0","MIT","https://github.com/iTonyYo/deep-scan-dir"
"deepmerge@4.2.2","MIT","https://github.com/TehShrike/deepmerge"
"dir-glob@2.2.2","MIT","https://github.com/kevva/dir-glob"
"execa@0.2.2","MIT","https://github.com/sindresorhus/execa"
"flatten-folder@1.0.6","MIT","https://github.com/iTonyYo/flatten-folder"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath"
"glob@7.1.6","ISC","https://github.com/isaacs/node-glob"
"globby@7.1.1","MIT","https://github.com/sindresorhus/globby"
"graceful-fs@4.2.3","ISC","https://github.com/isaacs/node-graceful-fs"
"ignore@3.3.10","MIT","https://github.com/kaelzhang/node-ignore"
"indent-string@4.0.0","MIT","https://github.com/sindresorhus/indent-string"
"inflight@1.0.6","ISC","https://github.com/npm/inflight"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"is-path-inside@3.0.2","MIT","https://github.com/sindresorhus/is-path-inside"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe"
"lru-cache@4.1.5","ISC","https://github.com/isaacs/node-lru-cache"
"make-dir@2.1.0","MIT","https://github.com/sindresorhus/make-dir"
"make-dir@3.0.0","MIT","https://github.com/sindresorhus/make-dir"
"minimatch@3.0.4","ISC","https://github.com/isaacs/minimatch"
"mount-point@3.0.0","MIT","https://github.com/kevva/mount-point"
"move-file@1.2.0","MIT","https://github.com/sindresorhus/move-file"
"nested-error-stacks@2.1.0","MIT","https://github.com/mdlavin/nested-error-stacks"
"npm-run-path@1.0.0","MIT","https://github.com/sindresorhus/npm-run-path"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"once@1.4.0","ISC","https://github.com/isaacs/once"
"os-homedir@1.0.2","MIT","https://github.com/sindresorhus/os-homedir"
"p-map@3.0.0","MIT","https://github.com/sindresorhus/p-map"
"p-try@2.2.0","MIT","https://github.com/sindresorhus/p-try"
"path-exists@3.0.0","MIT","https://github.com/sindresorhus/path-exists"
"path-is-absolute@1.0.1","MIT","https://github.com/sindresorhus/path-is-absolute"
"path-key@1.0.0","MIT","https://github.com/sindresorhus/path-key"
"path-type@3.0.0","MIT","https://github.com/sindresorhus/path-type"
"pify@2.3.0","MIT","https://github.com/sindresorhus/pify"
"pify@3.0.0","MIT","https://github.com/sindresorhus/pify"
"pify@4.0.1","MIT","https://github.com/sindresorhus/pify"
"pinkie-promise@2.0.1","MIT","https://github.com/floatdrop/pinkie-promise"
"pinkie@2.0.4","MIT","https://github.com/floatdrop/pinkie"
"pseudomap@1.0.2","ISC","https://github.com/isaacs/pseudomap"
"safe-buffer@5.2.0","MIT","https://github.com/feross/safe-buffer"
"semver@5.7.1","ISC","https://github.com/npm/node-semver"
"semver@6.3.0","ISC","https://github.com/npm/node-semver"
"slash@1.0.0","MIT","https://github.com/sindresorhus/slash"
"strip-eof@1.0.0","MIT","https://github.com/sindresorhus/strip-eof"
"trash@6.1.1","MIT","https://github.com/sindresorhus/trash"
"user-home@2.0.0","MIT","https://github.com/sindresorhus/user-home"
"uuid@3.4.0","MIT","https://github.com/uuidjs/uuid"
"which@1.3.1","ISC","https://github.com/isaacs/node-which"
"wrappy@1.0.2","ISC","https://github.com/npm/wrappy"
"xdg-basedir@2.0.0","MIT","https://github.com/sindresorhus/xdg-basedir"
"xdg-trashdir@2.1.1","MIT","https://github.com/kevva/xdg-trashdir"
"yallist@2.1.2","ISC","https://github.com/isaacs/yallist"
